city_id,city,country,probability_tif,map_preview,is_training_city
47,Freetown,Sierra Leone,city_probability_maps/sierra-leone/freetown_47/morphological_informality_probability.tif,city_probability_maps/sierra-leone/freetown_47/map_preview.png,true
431,Cape Town,South Africa,city_probability_maps/south-africa/cape-town_431/morphological_informality_probability.tif,city_probability_maps/south-africa/cape-town_431/map_preview.png,true
1289,Lagos,Nigeria,city_probability_maps/nigeria/lagos_1289/morphological_informality_probability.tif,city_probability_maps/nigeria/lagos_1289/map_preview.png,true
1711,Kampala,Uganda,city_probability_maps/uganda/kampala_1711/morphological_informality_probability.tif,city_probability_maps/uganda/kampala_1711/map_preview.png,true
1717,Nairobi,Kenya,city_probability_maps/kenya/nairobi_1717/morphological_informality_probability.tif,city_probability_maps/kenya/nairobi_1717/map_preview.png,true
3175,Accra,Ghana,city_probability_maps/ghana/accra_3175/morphological_informality_probability.tif,city_probability_maps/ghana/accra_3175/map_preview.png,true
3570,Dar es-Salaam,Tanzania,city_probability_maps/tanzania/dar-es-salaam_3570/morphological_informality_probability.tif,city_probability_maps/tanzania/dar-es-salaam_3570/map_preview.png,true
7209,Port Harcourt,Nigeria,city_probability_maps/nigeria/port-harcourt_7209/morphological_informality_probability.tif,city_probability_maps/nigeria/port-harcourt_7209/map_preview.png,true
39,Dakar,Senegal,city_probability_maps/senegal/dakar_39/morphological_informality_probability.tif,city_probability_maps/senegal/dakar_39/map_preview.png,false
40,Serrekunda,Gambia,city_probability_maps/gambia/serrekunda_40/morphological_informality_probability.tif,city_probability_maps/gambia/serrekunda_40/map_preview.png,false
50,Monrovia,Liberia,city_probability_maps/liberia/monrovia_50/morphological_informality_probability.tif,city_probability_maps/liberia/monrovia_50/map_preview.png,false
222,Nouakchott,Mauritania,city_probability_maps/mauritania/nouakchott_222/morphological_informality_probability.tif,city_probability_maps/mauritania/nouakchott_222/map_preview.png,false
291,Alexandria,Egypt,city_probability_maps/egypt/alexandria_291/morphological_informality_probability.tif,city_probability_maps/egypt/alexandria_291/map_preview.png,false
295,Bujumbura,Burundi,city_probability_maps/burundi/bujumbura_295/morphological_informality_probability.tif,city_probability_maps/burundi/bujumbura_295/map_preview.png,false
299,Maputo,Mozambique,city_probability_maps/mozambique/maputo_299/morphological_informality_probability.tif,city_probability_maps/mozambique/maputo_299/map_preview.png,false
391,Bamako,Mali,city_probability_maps/mali/bamako_391/morphological_informality_probability.tif,city_probability_maps/mali/bamako_391/map_preview.png,false
395,Bobo-Dioulasso,Burkina Faso,city_probability_maps/burkina-faso/bobo-dioulasso_395/morphological_informality_probability.tif,city_probability_maps/burkina-faso/bobo-dioulasso_395/map_preview.png,false
424,N'Djamena,Chad,city_probability_maps/chad/n-djamena_424/morphological_informality_probability.tif,city_probability_maps/chad/n-djamena_424/map_preview.png,false
427,Brazzaville,Republic of the Congo,city_probability_maps/republic-of-the-congo/brazzaville_427/morphological_informality_probability.tif,city_probability_maps/republic-of-the-congo/brazzaville_427/map_preview.png,false
461,Lilongwe,Malawi,city_probability_maps/malawi/lilongwe_461/morphological_informality_probability.tif,city_probability_maps/malawi/lilongwe_461/map_preview.png,false
548,Niamey,Niger,city_probability_maps/niger/niamey_548/morphological_informality_probability.tif,city_probability_maps/niger/niamey_548/map_preview.png,false
564,Cabinda,Angola,city_probability_maps/angola/cabinda_564/morphological_informality_probability.tif,city_probability_maps/angola/cabinda_564/map_preview.png,false
582,Bangui,Central African Republic,city_probability_maps/central-african-republic/bangui_582/morphological_informality_probability.tif,city_probability_maps/central-african-republic/bangui_582/map_preview.png,false
