"path","size_mb","category"
"data/input/1063/1063_building_presence.tif","0.887","required_predictor"
"data/input/1063/1063_building_height.tif","1.053","required_predictor"
"data/input/1063/1063_ndvi.tif","1.25","required_predictor"
"data/input/1063/1063_ndbi.tif","0.717","required_predictor"
"data/input/1082/1082_building_presence.tif","7.422","required_predictor"
"data/input/1082/1082_building_height.tif","9.097","required_predictor"
"data/input/1082/1082_ndvi.tif","7.663","required_predictor"
"data/input/1082/1082_ndbi.tif","3.81","required_predictor"
"data/input/1284/1284_building_presence.tif","4.048","required_predictor"
"data/input/1284/1284_building_height.tif","4.829","required_predictor"
"data/input/1284/1284_ndvi.tif","4.481","required_predictor"
"data/input/1284/1284_ndbi.tif","2.449","required_predictor"
"data/input/1289/1289_building_presence.tif","10.91","required_predictor"
"data/input/1289/1289_building_height.tif","13.493","required_predictor"
"data/input/1289/1289_ndvi.tif","9.733","required_predictor"
"data/input/1289/1289_ndbi.tif","5.019","required_predictor"
"data/input/1301/1301_building_presence.tif","0.858","required_predictor"
"data/input/1301/1301_building_height.tif","0.987","required_predictor"
"data/input/1301/1301_ndvi.tif","1.431","required_predictor"
"data/input/1301/1301_ndbi.tif","0.755","required_predictor"
"data/input/1399/1399_building_presence.tif","3.611","required_predictor"
"data/input/1399/1399_building_height.tif","4.713","required_predictor"
"data/input/1399/1399_ndvi.tif","4.61","required_predictor"
"data/input/1399/1399_ndbi.tif","2.306","required_predictor"
"data/input/1419/1419_building_presence.tif","3.877","required_predictor"
"data/input/1419/1419_building_height.tif","4.412","required_predictor"
"data/input/1419/1419_ndvi.tif","6.144","required_predictor"
"data/input/1419/1419_ndbi.tif","3.332","required_predictor"
"data/input/1487/1487_building_presence.tif","3.855","required_predictor"
"data/input/1487/1487_building_height.tif","4.631","required_predictor"
"data/input/1487/1487_ndvi.tif","4.158","required_predictor"
"data/input/1487/1487_ndbi.tif","2.057","required_predictor"
"data/input/1517/1517_building_presence.tif","2.921","required_predictor"
"data/input/1517/1517_building_height.tif","3.454","required_predictor"
"data/input/1517/1517_ndvi.tif","3.527","required_predictor"
"data/input/1517/1517_ndbi.tif","1.846","required_predictor"
"data/input/1588/1588_building_presence.tif","3.269","required_predictor"
"data/input/1588/1588_building_height.tif","3.956","required_predictor"
"data/input/1588/1588_ndvi.tif","3.998","required_predictor"
"data/input/1588/1588_ndbi.tif","2.242","required_predictor"
"data/input/1711/1711_building_presence.tif","5.853","required_predictor"
"data/input/1711/1711_building_height.tif","7.117","required_predictor"
"data/input/1711/1711_ndvi.tif","8.137","required_predictor"
"data/input/1711/1711_ndbi.tif","4.567","required_predictor"
"data/input/1717/1717_building_presence.tif","4.047","required_predictor"
"data/input/1717/1717_building_height.tif","5.131","required_predictor"
"data/input/1717/1717_ndvi.tif","5.963","required_predictor"
"data/input/1717/1717_ndbi.tif","3.367","required_predictor"
"data/input/1763/1763_building_presence.tif","1.35","required_predictor"
"data/input/1763/1763_building_height.tif","1.632","required_predictor"
"data/input/1763/1763_ndvi.tif","1.278","required_predictor"
"data/input/1763/1763_ndbi.tif","0.609","required_predictor"
"data/input/1813/1813_building_presence.tif","0.062","required_predictor"
"data/input/1813/1813_building_height.tif","0.075","required_predictor"
"data/input/1813/1813_ndvi.tif","0.128","required_predictor"
"data/input/1813/1813_ndbi.tif","0.074","required_predictor"
"data/input/1853/1853_building_presence.tif","0.018","required_predictor"
"data/input/1853/1853_building_height.tif","0.026","required_predictor"
"data/input/1853/1853_ndvi.tif","1.145","required_predictor"
"data/input/1853/1853_ndbi.tif","0.573","required_predictor"
"data/input/1876/1876_building_presence.tif","4.263","required_predictor"
"data/input/1876/1876_building_height.tif","5.351","required_predictor"
"data/input/1876/1876_ndvi.tif","4.424","required_predictor"
"data/input/1876/1876_ndbi.tif","2.33","required_predictor"
"data/input/1892/1892_building_presence.tif","0.738","required_predictor"
"data/input/1892/1892_building_height.tif","0.884","required_predictor"
"data/input/1892/1892_ndvi.tif","0.926","required_predictor"
"data/input/1892/1892_ndbi.tif","0.499","required_predictor"
"data/input/1900/1900_building_presence.tif","0.634","required_predictor"
"data/input/1900/1900_building_height.tif","0.779","required_predictor"
"data/input/1900/1900_ndvi.tif","0.675","required_predictor"
"data/input/1900/1900_ndbi.tif","0.324","required_predictor"
"data/input/1985/1985_building_presence.tif","2.102","required_predictor"
"data/input/1985/1985_building_height.tif","2.562","required_predictor"
"data/input/1985/1985_ndvi.tif","4.35","required_predictor"
"data/input/1985/1985_ndbi.tif","2.365","required_predictor"
"data/input/2047/2047_building_presence.tif","0.773","required_predictor"
"data/input/2047/2047_building_height.tif","0.942","required_predictor"
"data/input/2047/2047_ndvi.tif","0.836","required_predictor"
"data/input/2047/2047_ndbi.tif","0.408","required_predictor"
"data/input/2102/2102_building_presence.tif","0.088","required_predictor"
"data/input/2102/2102_building_height.tif","0.125","required_predictor"
"data/input/2102/2102_ndvi.tif","3.704","required_predictor"
"data/input/2102/2102_ndbi.tif","1.893","required_predictor"
"data/input/222/222_building_presence.tif","1.596","required_predictor"
"data/input/222/222_building_height.tif","1.929","required_predictor"
"data/input/222/222_ndvi.tif","1.014","required_predictor"
"data/input/222/222_ndbi.tif","0.303","required_predictor"
"data/input/2276/2276_building_presence.tif","2.582","required_predictor"
"data/input/2276/2276_building_height.tif","3.197","required_predictor"
"data/input/2276/2276_ndvi.tif","3.285","required_predictor"
"data/input/2276/2276_ndbi.tif","1.858","required_predictor"
"data/input/258/258_building_presence.tif","0.074","required_predictor"
"data/input/258/258_building_height.tif","0.105","required_predictor"
"data/input/258/258_ndvi.tif","4.179","required_predictor"
"data/input/258/258_ndbi.tif","1.966","required_predictor"
"data/input/2747/2747_building_presence.tif","0.051","required_predictor"
"data/input/2747/2747_building_height.tif","0.072","required_predictor"
"data/input/2747/2747_ndvi.tif","1.954","required_predictor"
"data/input/2747/2747_ndbi.tif","1.052","required_predictor"
"data/input/2880/2880_building_presence.tif","4.921","required_predictor"
"data/input/2880/2880_building_height.tif","5.84","required_predictor"
"data/input/2880/2880_ndvi.tif","5.265","required_predictor"
"data/input/2880/2880_ndbi.tif","2.916","required_predictor"
"data/input/2902/2902_building_presence.tif","1.152","required_predictor"
"data/input/2902/2902_building_height.tif","1.438","required_predictor"
"data/input/2902/2902_ndvi.tif","1.404","required_predictor"
"data/input/2902/2902_ndbi.tif","0.699","required_predictor"
"data/input/291/291_building_presence.tif","2.611","required_predictor"
"data/input/291/291_building_height.tif","3.649","required_predictor"
"data/input/291/291_ndvi.tif","3.662","required_predictor"
"data/input/291/291_ndbi.tif","2.077","required_predictor"
"data/input/295/295_building_presence.tif","0.971","required_predictor"
"data/input/295/295_building_height.tif","1.193","required_predictor"
"data/input/295/295_ndvi.tif","1.4","required_predictor"
"data/input/295/295_ndbi.tif","0.768","required_predictor"
"data/input/2967/2967_building_presence.tif","1.526","required_predictor"
"data/input/2967/2967_building_height.tif","1.869","required_predictor"
"data/input/2967/2967_ndvi.tif","1.455","required_predictor"
"data/input/2967/2967_ndbi.tif","0.672","required_predictor"
"data/input/299/299_building_presence.tif","4.572","required_predictor"
"data/input/299/299_building_height.tif","5.399","required_predictor"
"data/input/299/299_ndvi.tif","6.143","required_predictor"
"data/input/299/299_ndbi.tif","3.319","required_predictor"
"data/input/2996/2996_building_presence.tif","4.02","required_predictor"
"data/input/2996/2996_building_height.tif","5.018","required_predictor"
"data/input/2996/2996_ndvi.tif","3.506","required_predictor"
"data/input/2996/2996_ndbi.tif","1.756","required_predictor"
"data/input/3175/3175_building_presence.tif","9.933","required_predictor"
"data/input/3175/3175_building_height.tif","12.188","required_predictor"
"data/input/3175/3175_ndvi.tif","9.483","required_predictor"
"data/input/3175/3175_ndbi.tif","4.893","required_predictor"
"data/input/3193/3193_building_presence.tif","1.165","required_predictor"
"data/input/3193/3193_building_height.tif","1.415","required_predictor"
"data/input/3193/3193_ndvi.tif","7.048","required_predictor"
"data/input/3193/3193_ndbi.tif","7.225","required_predictor"
"data/input/3306/3306_building_presence.tif","0.946","required_predictor"
"data/input/3306/3306_building_height.tif","1.121","required_predictor"
"data/input/3306/3306_ndvi.tif","1.203","required_predictor"
"data/input/3306/3306_ndbi.tif","0.647","required_predictor"
"data/input/3397/3397_building_presence.tif","3.287","required_predictor"
"data/input/3397/3397_building_height.tif","4.376","required_predictor"
"data/input/3397/3397_ndvi.tif","4.942","required_predictor"
"data/input/3397/3397_ndbi.tif","2.629","required_predictor"
"data/input/3509/3509_building_presence.tif","0.483","required_predictor"
"data/input/3509/3509_building_height.tif","0.577","required_predictor"
"data/input/3509/3509_ndvi.tif","0.767","required_predictor"
"data/input/3509/3509_ndbi.tif","0.423","required_predictor"
"data/input/3512/3512_building_presence.tif","13.658","required_predictor"
"data/input/3512/3512_building_height.tif","16.834","required_predictor"
"data/input/3512/3512_ndvi.tif","18.956","required_predictor"
"data/input/3512/3512_ndbi.tif","10.185","required_predictor"
"data/input/3562/3562_building_presence.tif","0.294","required_predictor"
"data/input/3562/3562_building_height.tif","0.343","required_predictor"
"data/input/3562/3562_ndvi.tif","0.484","required_predictor"
"data/input/3562/3562_ndbi.tif","0.269","required_predictor"
"data/input/3570/3570_building_presence.tif","6.664","required_predictor"
"data/input/3570/3570_building_height.tif","7.973","required_predictor"
"data/input/3570/3570_ndvi.tif","7.77","required_predictor"
"data/input/3570/3570_ndbi.tif","4.125","required_predictor"
"data/input/3673/3673_building_presence.tif","0.885","required_predictor"
"data/input/3673/3673_building_height.tif","1.071","required_predictor"
"data/input/3673/3673_ndvi.tif","0.879","required_predictor"
"data/input/3673/3673_ndbi.tif","0.447","required_predictor"
"data/input/3809/3809_building_presence.tif","2.832","required_predictor"
"data/input/3809/3809_building_height.tif","3.238","required_predictor"
"data/input/3809/3809_ndvi.tif","4.173","required_predictor"
"data/input/3809/3809_ndbi.tif","2.246","required_predictor"
"data/input/3886/3886_building_presence.tif","0.015","required_predictor"
"data/input/3886/3886_building_height.tif","0.021","required_predictor"
"data/input/3886/3886_ndvi.tif","0.854","required_predictor"
"data/input/3886/3886_ndbi.tif","0.526","required_predictor"
"data/input/39/39_building_presence.tif","2.184","required_predictor"
"data/input/39/39_building_height.tif","2.834","required_predictor"
"data/input/39/39_ndvi.tif","1.912","required_predictor"
"data/input/39/39_ndbi.tif","1.019","required_predictor"
"data/input/391/391_building_presence.tif","3.412","required_predictor"
"data/input/391/391_building_height.tif","4.244","required_predictor"
"data/input/391/391_ndvi.tif","3.636","required_predictor"
"data/input/391/391_ndbi.tif","1.902","required_predictor"
"data/input/3943/3943_building_presence.tif","3.812","required_predictor"
"data/input/3943/3943_building_height.tif","4.649","required_predictor"
"data/input/3943/3943_ndvi.tif","5.357","required_predictor"
