ID_UC_G0,GC_UCN_MAI_2025,GC_CNT_GAD_2025
47,Freetown,Sierra Leone
431,Cape Town,South Africa
1289,Lagos,Nigeria
1711,Kampala,Uganda
1717,Nairobi,Kenya
3175,Accra,Ghana
3570,Dar es-Salaam,Tanzania
7209,Port Harcourt,Nigeria
39,Dakar,Senegal
40,Serrekunda,Gambia
50,Monrovia,Liberia
222,Nouakchott,Mauritania
291,Alexandria,Egypt
295,Bujumbura,Burundi
299,Maputo,Mozambique
391,Bamako,Mali
395,Bobo-Dioulasso,Burkina Faso
424,N'Djamena,Chad
427,Brazzaville,Republic of the Congo
461,Lilongwe,Malawi
548,Niamey,Niger
564,Cabinda,Angola
582,Bangui,Central African Republic
597,Kigali,Rwanda
673,Coyah,Guinea
820,Lomé,Togo
832,Douala,Cameroon
945,Oran,Algeria
1063,Takoradi,Ghana
1082,Luanda,Angola
1284,Kumasi,Ghana
1301,Lubango,Angola
1399,Tunis,Tunisia
1419,Harare,Zimbabwe
1487,Ouagadougou,Burkina Faso
1517,Lusaka,Zambia
1588,Cotonou,Benin
1763,Touba,Senegal
1876,Kinshasa,Democratic Republic of the Congo
1900,Hargeisa,Somalia
1985,Antananarivo,Madagascar
2047,Nyala,Sudan
2276,Yaoundé,Cameroon
2880,Ibadan,Nigeria
2902,Mombasa,Kenya
2967,Mogadishu,Somalia
2996,Abidjan,Côte d'Ivoire
3306,Nampula,Mozambique
3397,Algiers,Algeria
3509,Malanje,Angola
3512,Johannesburg,South Africa
3562,Tshikapa,Democratic Republic of the Congo
3673,Zanzibar City,Tanzania
3809,Soshanguve,South Africa
3943,Pretoria,South Africa
4155,Khartoum,Sudan
4183,Ilorin,Nigeria
4230,El Mahalla El Kubra,Egypt
4305,Banha,Egypt
4416,Kananga,Democratic Republic of the Congo
4605,Cairo,Egypt
4787,Durban,South Africa
4952,Kasaï-Oriental,Democratic Republic of the Congo
5167,El Mansura,Egypt
5862,Addis Ababa,Ethiopia
5918,Al Zaqaziq,Egypt
5935,Benin City,Nigeria
6009,Warri,Nigeria
6321,Lubumbashi,Democratic Republic of the Congo
6474,Okene,Nigeria
6776,Asyut,Egypt
7054,Beni,Democratic Republic of the Congo
7092,Onitsha,Nigeria
7093,Suhaj,Egypt
7131,Owerri,Nigeria
7222,Luxor,Egypt
7426,Aboh,Nigeria
7471,Abuja,Nigeria
7516,Kaduna,Nigeria
7543,Aba,Nigeria
7716,Enugu,Nigeria
7961,Uyo,Nigeria
8125,Kano,Nigeria
8564,Maiduguri,Nigeria
