"","ID_UC_G0","bin","count","GC_UCN_MAI_2025","GC_CNT_GAD_2025","city_country","prop"
"1",1063,"p0_0.2",609839,"Takoradi","Ghana","Takoradi (Ghana)",0.847845278827051
"2",1063,"p0.2_0.4",51014,"Takoradi","Ghana","Takoradi (Ghana)",0.0709236028756494
"3",1063,"p0.4_0.6",21963,"Takoradi","Ghana","Takoradi (Ghana)",0.0305346589163345
"4",1063,"p0.6_0.8",16567,"Takoradi","Ghana","Takoradi (Ghana)",0.0230327229552845
"5",1063,"p0.8_1",19898,"Takoradi","Ghana","Takoradi (Ghana)",0.0276637364256806
"6",1082,"p0_0.2",3301982,"Luanda","Angola","Luanda (Angola)",0.517785934022234
"7",1082,"p0.2_0.4",1217009,"Luanda","Angola","Luanda (Angola)",0.190839968775864
"8",1082,"p0.4_0.6",648931,"Luanda","Angola","Luanda (Angola)",0.101759290011569
"9",1082,"p0.6_0.8",645118,"Luanda","Angola","Luanda (Angola)",0.101161371014305
"10",1082,"p0.8_1",564078,"Luanda","Angola","Luanda (Angola)",0.0884534361760281
"11",1284,"p0_0.2",2976824,"Kumasi","Ghana","Kumasi (Ghana)",0.883119086913015
"12",1284,"p0.2_0.4",157063,"Kumasi","Ghana","Kumasi (Ghana)",0.0465950735239366
"13",1284,"p0.4_0.6",85176,"Kumasi","Ghana","Kumasi (Ghana)",0.0252687264503723
"14",1284,"p0.6_0.8",64125,"Kumasi","Ghana","Kumasi (Ghana)",0.019023634399715
"15",1284,"p0.8_1",87619,"Kumasi","Ghana","Kumasi (Ghana)",0.025993478712961
"16",1289,"p0_0.2",4567022,"Lagos","Nigeria","Lagos (Nigeria)",0.51651751027771
"17",1289,"p0.2_0.4",2346636,"Lagos","Nigeria","Lagos (Nigeria)",0.265398017405663
"18",1289,"p0.4_0.6",1173756,"Lagos","Nigeria","Lagos (Nigeria)",0.132748545286956
"19",1289,"p0.6_0.8",589126,"Lagos","Nigeria","Lagos (Nigeria)",0.0666285152030943
"20",1289,"p0.8_1",165410,"Lagos","Nigeria","Lagos (Nigeria)",0.0187074118265767
"21",1301,"p0_0.2",535585,"Lubango","Angola","Lubango (Angola)",0.778552572667911
"22",1301,"p0.2_0.4",101480,"Lubango","Angola","Lubango (Angola)",0.147516295404725
"23",1301,"p0.4_0.6",33749,"Lubango","Angola","Lubango (Angola)",0.0490591983998232
"24",1301,"p0.6_0.8",13925,"Lubango","Angola","Lubango (Angola)",0.0202420616230863
"25",1301,"p0.8_1",3185,"Lubango","Angola","Lubango (Angola)",0.00462987190445456
"26",1399,"p0_0.2",2320936,"Tunis","Tunisia","Tunis (Tunisia)",0.813733935674329
"27",1399,"p0.2_0.4",283494,"Tunis","Tunisia","Tunis (Tunisia)",0.099394678853729
"28",1399,"p0.4_0.6",111865,"Tunis","Tunisia","Tunis (Tunisia)",0.0392205328859602
"29",1399,"p0.6_0.8",76482,"Tunis","Tunisia","Tunis (Tunisia)",0.0268150430982345
"30",1399,"p0.8_1",59428,"Tunis","Tunisia","Tunis (Tunisia)",0.0208358094877472
"31",1419,"p0_0.2",2693547,"Harare","Zimbabwe","Harare (Zimbabwe)",0.814663444162124
"32",1419,"p0.2_0.4",565843,"Harare","Zimbabwe","Harare (Zimbabwe)",0.171139247703875
"33",1419,"p0.4_0.6",45091,"Harare","Zimbabwe","Harare (Zimbabwe)",0.0136377755282215
"34",1419,"p0.6_0.8",1711,"Harare","Zimbabwe","Harare (Zimbabwe)",0.000517492047831872
"35",1419,"p0.8_1",139,"Harare","Zimbabwe","Harare (Zimbabwe)",4.20405579477675e-05
"36",1487,"p0_0.2",1315855,"Ouagadougou","Burkina Faso","Ouagadougou (Burkina Faso)",0.41190711785692
"37",1487,"p0.2_0.4",705468,"Ouagadougou","Burkina Faso","Ouagadougou (Burkina Faso)",0.220835343271322
"38",1487,"p0.4_0.6",668120,"Ouagadougou","Burkina Faso","Ouagadougou (Burkina Faso)",0.209144156143774
"39",1487,"p0.6_0.8",468132,"Ouagadougou","Burkina Faso","Ouagadougou (Burkina Faso)",0.14654114845222
"40",1487,"p0.8_1",36968,"Ouagadougou","Burkina Faso","Ouagadougou (Burkina Faso)",0.0115722342757634
"41",1517,"p0_0.2",1696736,"Lusaka","Zambia","Lusaka (Zambia)",0.712305234809732
"42",1517,"p0.2_0.4",309848,"Lusaka","Zambia","Lusaka (Zambia)",0.130077013981743
"43",1517,"p0.4_0.6",183360,"Lusaka","Zambia","Lusaka (Zambia)",0.07697619892235
"44",1517,"p0.6_0.8",139657,"Lusaka","Zambia","Lusaka (Zambia)",0.0586292812658084
"45",1517,"p0.8_1",52434,"Lusaka","Zambia","Lusaka (Zambia)",0.022012271020367
"46",1588,"p0_0.2",2327809,"Cotonou","Benin","Cotonou (Benin)",0.87368181635638
"47",1588,"p0.2_0.4",178787,"Cotonou","Benin","Cotonou (Benin)",0.0671029929435397
"48",1588,"p0.4_0.6",82009,"Cotonou","Benin","Cotonou (Benin)",0.0307799188325032
"49",1588,"p0.6_0.8",48271,"Cotonou","Benin","Cotonou (Benin)",0.0181172488624878
"50",1588,"p0.8_1",27491,"Cotonou","Benin","Cotonou (Benin)",0.010318023005089
"51",1711,"p0_0.2",3443528,"Kampala","Uganda","Kampala (Uganda)",0.741106578157861
"52",1711,"p0.2_0.4",731963,"Kampala","Uganda","Kampala (Uganda)",0.157531053694979
"53",1711,"p0.4_0.6",264213,"Kampala","Uganda","Kampala (Uganda)",0.0568631915683052
"54",1711,"p0.6_0.8",129027,"Kampala","Uganda","Kampala (Uganda)",0.0277688343059718
"55",1711,"p0.8_1",77737,"Kampala","Uganda","Kampala (Uganda)",0.0167303422728834
"56",1717,"p0_0.2",2763626,"Nairobi","Kenya","Nairobi (Kenya)",0.837009678098362
"57",1717,"p0.2_0.4",291773,"Nairobi","Kenya","Nairobi (Kenya)",0.088368261410116
"58",1717,"p0.4_0.6",115215,"Nairobi","Kenya","Nairobi (Kenya)",0.0348947614699322
"59",1717,"p0.6_0.8",76162,"Nairobi","Kenya","Nairobi (Kenya)",0.023066916834379
"60",1717,"p0.8_1",55009,"Nairobi","Kenya","Nairobi (Kenya)",0.0166603821872109
"61",1763,"p0_0.2",733975,"Touba","Senegal","Touba (Senegal)",0.645731866105488
"62",1763,"p0.2_0.4",359123,"Touba","Senegal","Touba (Senegal)",0.315946953167889
"63",1763,"p0.4_0.6",36108,"Touba","Senegal","Touba (Senegal)",0.031766867020453
"64",1763,"p0.6_0.8",6032,"Touba","Senegal","Touba (Senegal)",0.00530679466786785
"65",1763,"p0.8_1",1418,"Touba","Senegal","Touba (Senegal)",0.00124751903830183
"66",1876,"p0_0.2",1027119,"Kinshasa","Democratic Republic of the Congo","Kinshasa (Democratic Republic of the Congo)",0.272093008470199
"67",1876,"p0.2_0.4",1276046,"Kinshasa","Democratic Republic of the Congo","Kinshasa (Democratic Republic of the Congo)",0.33803599688679
"68",1876,"p0.4_0.6",442489,"Kinshasa","Democratic Republic of the Congo","Kinshasa (Democratic Republic of the Congo)",0.117219293212344
"69",1876,"p0.6_0.8",330848,"Kinshasa","Democratic Republic of the Congo","Kinshasa (Democratic Republic of the Congo)",0.0876445939237306
"70",1876,"p0.8_1",698380,"Kinshasa","Democratic Republic of the Congo","Kinshasa (Democratic Republic of the Congo)",0.185007107506937
"71",1900,"p0_0.2",293313,"Hargeisa","Somalia","Hargeisa (Somalia)",0.578357796935017
"72",1900,"p0.2_0.4",160652,"Hargeisa","Somalia","Hargeisa (Somalia)",0.316775379179253
"73",1900,"p0.4_0.6",44532,"Hargeisa","Somalia","Hargeisa (Somalia)",0.0878086870104979
"74",1900,"p0.6_0.8",7789,"Hargeisa","Somalia","Hargeisa (Somalia)",0.0153584358017778
"75",1900,"p0.8_1",862,"Hargeisa","Somalia","Hargeisa (Somalia)",0.0016997010734539
"76",1985,"p0_0.2",1024410,"Antananarivo","Madagascar","Antananarivo (Madagascar)",0.601027204370723
"77",1985,"p0.2_0.4",325811,"Antananarivo","Madagascar","Antananarivo (Madagascar)",0.191155176621889
"78",1985,"p0.4_0.6",140018,"Antananarivo","Madagascar","Antananarivo (Madagascar)",0.0821493611948145
"79",1985,"p0.6_0.8",113638,"Antananarivo","Madagascar","Antananarivo (Madagascar)",0.0666720643592704
"80",1985,"p0.8_1",100555,"Antananarivo","Madagascar","Antananarivo (Madagascar)",0.0589961934533029
"81",2047,"p0_0.2",104354,"Nyala","Sudan","Nyala (Sudan)",0.154355437289128
"82",2047,"p0.2_0.4",334251,"Nyala","Sudan","Nyala (Sudan)",0.494408065520521
"83",2047,"p0.4_0.6",231701,"Nyala","Sudan","Nyala (Sudan)",0.342721018603296
"84",2047,"p0.6_0.8",4097,"Nyala","Sudan","Nyala (Sudan)",0.00606008611623473
"85",2047,"p0.8_1",1660,"Nyala","Sudan","Nyala (Sudan)",0.00245539247082003
"86",222,"p0_0.2",384972,"Nouakchott","Mauritania","Nouakchott (Mauritania)",0.300759375
"87",222,"p0.2_0.4",420286,"Nouakchott","Mauritania","Nouakchott (Mauritania)",0.3283484375
"88",222,"p0.4_0.6",384091,"Nouakchott","Mauritania","Nouakchott (Mauritania)",0.30007109375
"89",222,"p0.6_0.8",85587,"Nouakchott","Mauritania","Nouakchott (Mauritania)",0.06686484375
"90",222,"p0.8_1",5064,"Nouakchott","Mauritania","Nouakchott (Mauritania)",0.00395625
"91",2276,"p0_0.2",1545202,"Yaoundé","Cameroon","Yaoundé (Cameroon)",0.747788625613518
"92",2276,"p0.2_0.4",285796,"Yaoundé","Cameroon","Yaoundé (Cameroon)",0.138308776487372
"93",2276,"p0.4_0.6",121620,"Yaoundé","Cameroon","Yaoundé (Cameroon)",0.0588570637671424
"94",2276,"p0.6_0.8",68732,"Yaoundé","Cameroon","Yaoundé (Cameroon)",0.0332623228650159
"95",2276,"p0.8_1",45012,"Yaoundé","Cameroon","Yaoundé (Cameroon)",0.0217832112669513
"96",2880,"p0_0.2",3081053,"Ibadan","Nigeria","Ibadan (Nigeria)",0.787759587375507
"97",2880,"p0.2_0.4",459953,"Ibadan","Nigeria","Ibadan (Nigeria)",0.117600179384167
"98",2880,"p0.4_0.6",183591,"Ibadan","Nigeria","Ibadan (Nigeria)",0.0469403059297768
"99",2880,"p0.6_0.8",106506,"Ibadan","Nigeria","Ibadan (Nigeria)",0.0272313142983959
"100",2880,"p0.8_1",80056,"Ibadan","Nigeria","Ibadan (Nigeria)",0.0204686130121532
"101",2902,"p0_0.2",588035,"Mombasa","Kenya","Mombasa (Kenya)",0.63973868012794
"102",2902,"p0.2_0.4",151616,"Mombasa","Kenya","Mombasa (Kenya)",0.164947017994299
"103",2902,"p0.4_0.6",62832,"Mombasa","Kenya","Mombasa (Kenya)",0.0683565786897017
"104",2902,"p0.6_0.8",58011,"Mombasa","Kenya","Mombasa (Kenya)",0.0631116865031876
"105",2902,"p0.8_1",58686,"Mombasa","Kenya","Mombasa (Kenya)",0.0638460366848713
"106",291,"p0_0.2",1430289,"Alexandria","Egypt","Alexandria (Egypt)",0.705202206688995
"107",291,"p0.2_0.4",366400,"Alexandria","Egypt","Alexandria (Egypt)",0.180653062794196
"108",291,"p0.4_0.6",126010,"Alexandria","Egypt","Alexandria (Egypt)",0.0621290732606349
"109",291,"p0.6_0.8",70717,"Alexandria","Egypt","Alexandria (Egypt)",0.0348669286070337
"110",291,"p0.8_1",34781,"Alexandria","Egypt","Alexandria (Egypt)",0.0171487286491401
"111",295,"p0_0.2",371594,"Bujumbura","Burundi","Bujumbura (Burundi)",0.488909881770314
"112",295,"p0.2_0.4",147447,"Bujumbura","Burundi","Bujumbura (Burundi)",0.19399746857427
"113",295,"p0.4_0.6",114313,"Bujumbura","Burundi","Bujumbura (Burundi)",0.1504027387816
"114",295,"p0.6_0.8",88711,"Bujumbura","Burundi","Bujumbura (Burundi)",0.116717935493378
"115",295,"p0.8_1",37981,"Bujumbura","Burundi","Bujumbura (Burundi)",0.0499719753804375
"116",2967,"p0_0.2",432151,"Mogadishu","Somalia","Mogadishu (Somalia)",0.352731983081311
